"id";"type";"name";"link";"photo";"date_update"
1;"person";" Baptiste Mylondo";;;
2;"person";" Marc de Basquiat";;;
3;"person";" Gaspard Koenig";;;
4;"person";" Mona Chollet";;;
5;"person";" Philippe Van Parijs";;;
6;"person";" Yannick Vanderborght";;;
7;"person";" Mateo Alaluf";;;
8;"person";" Denis Clerc";;;
9;"person";" Pascal Salin";;;
10;"person";" Fondation du revenu de base global";;;
11;"person";" Claire Hédon";;;
12;"person";" Nicolas Debock";;;
13;"person";" Jean-Éric Hyafil";;;
14;"person";" Stanislas Jourdan";;;
15;"person";" Hugo Stéphan";;;
16;"person";" Emmanuel Coux";;;
17;"person";" Mouvement français pour un revenu de base";;;
18;"person";" Bernard Friot";;;
19;"person";" Jean-Marc Ferry";;;
20;"person";" Michel Husson";;;
21;"person";" Robert Castel";;;
22;"person";" Olivia Grégoire";;;
23;"person";" François Ruffin";;;
