"id";"protagonistID";"surname";"rôle";"dateUpdate"
1;1;;"Enseignant économie philosophie";
2;2;;"Président de l'association AIRE";
3;3;;"Essayiste";
4;4;;"Journaliste et essayiste";
5;5;;"Philosophe et économiste";
6;6;;"Philosophe";
7;7;;"Sociologue et professeur";
8;8;;"Économiste";
9;9;;"Économiste";
10;10;;"Association";
11;11;;"Journaliste";
12;12;;"Directeur chez Capital Innovation";
13;13;;"Docteur en économie";
14;14;;"Directeur de Positive Money Europe";
15;15;;"Directeur d'intérêt général de EIGforever";
16;16;;"Directeur chez Grenoble-Alpes Métropole";
17;17;;"Association";
18;18;;"Sociologue et économiste";
19;19;;"Philosophe";
20;20;;"Statisticien et économiste";
21;21;;"Sociologue";
22;22;;"Politicienne de LREM";
23;23;;"Député La France Insoumise";
