"id";"type";"name";"link";"photo";"dateUpdate"
1;"person";"Baptiste Mylondo";"https://fr.wikipedia.org/wiki/Baptiste_Mylondo";"https://www.philonomist.com/sites/default/files/styles/avatar300/public/2018-12/Baptiste%20Mylondo%20_%20Juliette%20Treillet-3.jpg";
2;"person";"Marc de Basquiat";;"https://www.generationlibre.eu/wp-content/uploads/2017/11/basquiat-310x310.png";
3;"person";"Gaspard Koenig";"https://fr.wikipedia.org/wiki/Gaspard_Koenig";"https://cdn.leadersleague.com/origami-redaction/media/cache/articles/full_article2/30bdf6a4431b2a6e9428094513b9b8c2.jpg";
4;"person";"Mona Chollet";;;
5;"person";"Philippe Van Parijs";"https://fr.wikipedia.org/wiki/Philippe_Van_Parijs";"https://www.ulaval.ca/sites/default/files/notre-universite/prix-distinctions/prix-et-distinction-2016-et-avant/van-parijs-philippe.jpg";
6;"person";"Yannick Vanderborght";"https://www.fonda.asso.fr/auteurs/yannick-vanderborght";"https://www.fonda.asso.fr/sites/default/files/styles/medium/public/auteurs/A262-b.jpg?itok=Fo5OvDpk";
7;"person";"Mateo Alaluf";;;
8;"person";"Denis Clerc";;;
9;"person";"Pascal Salin";;;
10;"person";"Fondation du revenu de base global";;;
11;"person";"Claire Hédon";;;
12;"person";"Nicolas Debock";;;
13;"person";"Jean-Éric Hyafil";"https://twitter.com/jeanerichyafil";"https://pbs.twimg.com/profile_images/530765565221036032/mF0TfaRq_400x400.jpeg";
14;"person";"Stanislas Jourdan";;;
15;"person";"Hugo Stéphan";"https://twitter.com/hugostephan?lang=fr";"https://pbs.twimg.com/profile_images/967788236725682176/HC2Vqt5u_400x400.jpg";
16;"person";"Emmanuel Coux";;;
17;"company";"Mouvement français pour un revenu de base";"https://www.revenudebase.info/";"https://media-exp1.licdn.com/dms/image/C510BAQGDijY4Uffi0Q/company-logo_200_200/0?e=2159024400&v=beta&t=ANOMYzWXa7soT4TUAJvG5gEa-XtqTB9i4O7WShJxjq0";
18;"person";"Bernard Friot";"https://fr.wikipedia.org/wiki/Bernard_Friot_(sociologue)";"https://66.pcf.fr/sites/default/files/imagecache/image/friot_0.png";
19;"person";"Jean-Marc Ferry";;;
20;"person";"Michel Husson";"http://hussonet.free.fr/";"https://i2.wp.com/www.anti-k.org/wp-content/uploads/2015/05/michel_husson_2_dr.jpg?resize=234%2C234&ssl=1";
21;"person";"Robert Castel";;;
22;"person";"Olivia Grégoire";;;
23;"person";"François Ruffin";;;
