"quoteMainID";"quoteSupportID";"typeID";"dateUpdate"
1;2;1;
1;13;1;
1;18;1;
1;25;1;
1;34;1;
1;41;2;
1;45;2;
1;46;2;
1;49;2;
1;52;2;
1;53;2;
2;3;1;
2;4;1;
2;5;1;
2;6;1;
2;7;1;
2;8;1;
2;9;2;
2;10;2;
2;11;2;
2;12;2;
13;14;1;
13;15;2;
13;16;2;
13;17;2;
18;19;1;
18;20;1;
18;21;1;
18;22;1;
18;23;1;
18;24;2;
25;26;1;
25;27;1;
25;28;1;
25;29;1;
25;30;2;
25;31;2;
25;32;2;
25;33;2;
34;35;1;
34;36;1;
34;37;1;
34;38;1;
34;39;1;
34;40;1;
41;9;1;
41;42;1;
41;43;1;
41;44;1;
45;26;2;
45;27;2;
45;28;2;
45;29;2;
45;30;1;
45;31;1;
45;32;1;
45;33;1;
46;47;1;
46;48;1;
49;50;2;
49;51;2;
53;54;1;
53;55;1;
53;56;1;
53;57;1;
